1) UDELCC17100012 - Admission Number does not exist. In excel file row number : 1069
323) 25-04-18 - Cheque amount is not valid. In excel file row number : 3138
324) 16-06-18 - Cheque amount is not valid. In excel file row number : 3143
325) 26-06-18 - Cheque amount is not valid. In excel file row number : 3145
326) 29-06-18 - Cheque amount is not valid. In excel file row number : 3146
327) 08-05-18 - Cheque amount is not valid. In excel file row number : 3150
328) 08-05-18 - Cheque amount is not valid. In excel file row number : 3151
329) 25-07-18 - Cheque amount is not valid. In excel file row number : 3152
330) 09-07-18 - Cheque amount is not valid. In excel file row number : 3153
331) 09-07-18 - Cheque amount is not valid. In excel file row number : 3154
332) 30-05-18 - Cheque amount is not valid. In excel file row number : 3155
333) 30-06-18 - Cheque amount is not valid. In excel file row number : 3156
334) 04-08-18 - Cheque amount is not valid. In excel file row number : 3159
335) 05-03-19 - Cheque amount is not valid. In excel file row number : 3161
336) 07-03-19 - Cheque amount is not valid. In excel file row number : 3162
337) 05-03-19 - Cheque amount is not valid. In excel file row number : 3163
338) 14-03-19 - Cheque amount is not valid. In excel file row number : 3164
339) 11-03-19 - Cheque amount is not valid. In excel file row number : 3165
340) 04-07-18 - Cheque amount is not valid. In excel file row number : 3166
341) 29-06-18 - Cheque amount is not valid. In excel file row number : 3167
342) 26-06-18 - Cheque amount is not valid. In excel file row number : 3168
343) 17-09-18 - Cheque amount is not valid. In excel file row number : 3170
344) 17-09-18 - Cheque amount is not valid. In excel file row number : 3171
345) 17-09-18 - Cheque amount is not valid. In excel file row number : 3172
346) 17-09-18 - Cheque amount is not valid. In excel file row number : 3173
347) 24-08-18 - Cheque amount is not valid. In excel file row number : 3174
348) 24-08-18 - Cheque amount is not valid. In excel file row number : 3175
349) 18-09-18 - Cheque amount is not valid. In excel file row number : 3176
350) 18-08-18 - Cheque amount is not valid. In excel file row number : 3177
351) 20-08-18 - Cheque amount is not valid. In excel file row number : 3178
352) 19-09-18 - Cheque amount is not valid. In excel file row number : 3179
353) 20-07-18 - Cheque amount is not valid. In excel file row number : 3180
354) 12-09-18 - Cheque amount is not valid. In excel file row number : 3181
355) 18-09-18 - Cheque amount is not valid. In excel file row number : 3182
356) 13-09-18 - Cheque amount is not valid. In excel file row number : 3185
357) 10-09-18 - Cheque amount is not valid. In excel file row number : 3186
358) 26-09-18 - Cheque amount is not valid. In excel file row number : 3187
359) 17-09-18 - Cheque amount is not valid. In excel file row number : 3188
360) 12-09-18 - Cheque amount is not valid. In excel file row number : 3189
361) 08-09-18 - Cheque amount is not valid. In excel file row number : 3190
362) 27-02-19 - Cheque amount is not valid. In excel file row number : 3191
363) 27-02-19 - Cheque amount is not valid. In excel file row number : 3192
364) 15-02-19 - Cheque amount is not valid. In excel file row number : 3193
365) 25-02-19 - Cheque amount is not valid. In excel file row number : 3194
366) 05-03-19 - Cheque amount is not valid. In excel file row number : 3195
367) 18-02-19 - Cheque amount is not valid. In excel file row number : 3196
368) 23-10-18 - Cheque amount is not valid. In excel file row number : 3198
369) 30-10-18 - Cheque amount is not valid. In excel file row number : 3200
370) 18-07-18 - Cheque amount is not valid. In excel file row number : 3201
371) 18-07-18 - Cheque amount is not valid. In excel file row number : 3202
372) 12-09-18 - Cheque amount is not valid. In excel file row number : 3203
373) 07-06-18 - Cheque amount is not valid. In excel file row number : 3204
374) 20-09-18 - Cheque amount is not valid. In excel file row number : 3205
375) 20-09-18 - Cheque amount is not valid. In excel file row number : 3206
376) 13-11-18 - Cheque amount is not valid. In excel file row number : 3207
377) 15-10-18 - Cheque amount is not valid. In excel file row number : 3210
378) 29-11-18 - Cheque amount is not valid. In excel file row number : 3211
379) 28-11-18 - Cheque amount is not valid. In excel file row number : 3212
380) 30-11-18 - Cheque amount is not valid. In excel file row number : 3213
381) 06-03-19 - Cheque amount is not valid. In excel file row number : 3214
382) 24-11-18 - Cheque amount is not valid. In excel file row number : 3215
383) 14-11-18 - Cheque amount is not valid. In excel file row number : 3216
384) 14-11-18 - Cheque amount is not valid. In excel file row number : 3217
385) 01-12-18 - Cheque amount is not valid. In excel file row number : 3218
386) 04-12-18 - Cheque amount is not valid. In excel file row number : 3219
387) 29-11-18 - Cheque amount is not valid. In excel file row number : 3220
388) 15-08-18 - Cheque amount is not valid. In excel file row number : 3224
389) 17-09-18 - Cheque amount is not valid. In excel file row number : 3225
390) 17-09-18 - Cheque amount is not valid. In excel file row number : 3226
391) 19-08-18 - Cheque amount is not valid. In excel file row number : 3227
392) 19-08-18 - Cheque amount is not valid. In excel file row number : 3228
393) 17-05-18 - Cheque amount is not valid. In excel file row number : 3229
